Date : 2025-12-28 18:56:18
Directory : /Users/darrellparkhouse/development/beta-crm
Total : 58 files,  4442 codes, 451 comments, 779 blanks, all 5672 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/darrellparkhouse/development/beta-crm/backend/src/models/User.ts                                          | TypeScript |         37 |          0 |          3 |         40 |
| /Users/darrellparkhouse/development/beta-crm/backend/src/models/UserPermissions.ts                               | TypeScript |         26 |          0 |          2 |         28 |
| /Users/darrellparkhouse/development/beta-crm/backend/src/routes/authRoutes.js                                    | JavaScript |         11 |         30 |          8 |         49 |
| /Users/darrellparkhouse/development/beta-crm/backend/src/services/taskService.js                                 | JavaScript |        331 |         55 |         61 |        447 |
| /Users/darrellparkhouse/development/beta-crm/backend/src/utils/jwt.js                                            | JavaScript |         91 |         32 |         15 |        138 |
| /Users/darrellparkhouse/development/beta-crm/claude.md                                                           | Markdown   |         49 |          0 |         22 |         71 |
| /Users/darrellparkhouse/development/beta-crm/client/calendar.html                                                | HTML       |        130 |          7 |         10 |        147 |
| /Users/darrellparkhouse/development/beta-crm/client/css/app.css                                                  | PostCSS    |        538 |          2 |         19 |        559 |
| /Users/darrellparkhouse/development/beta-crm/client/dashboard-empty.html                                         | HTML       |         12 |          0 |          0 |         12 |
| /Users/darrellparkhouse/development/beta-crm/client/images/[Navigation] Web/Logo.svg                             | XML        |         13 |          0 |          1 |         14 |
| /Users/darrellparkhouse/development/beta-crm/client/images/[Navigation] Web/beta-crm-logo.svg                    | XML        |         13 |          0 |          1 |         14 |
| /Users/darrellparkhouse/development/beta-crm/client/images/calendar-icon.svg                                     | XML        |          3 |          0 |          1 |          4 |
| /Users/darrellparkhouse/development/beta-crm/client/images/checked.svg                                           | XML        |          4 |          0 |          1 |          5 |
| /Users/darrellparkhouse/development/beta-crm/client/images/dashboard/checklist.svg                               | XML        |          3 |          0 |          1 |          4 |
| /Users/darrellparkhouse/development/beta-crm/client/images/dashboard/work.svg                                    | XML        |          3 |          0 |          1 |          4 |
| /Users/darrellparkhouse/development/beta-crm/client/images/kanban/help-center-icon.svg                           | XML        |          3 |          0 |          1 |          4 |
| /Users/darrellparkhouse/development/beta-crm/client/images/kanban/kanban-icon.svg                                | XML        |          3 |          0 |          1 |          4 |
| /Users/darrellparkhouse/development/beta-crm/client/images/kanban/white-ui-store-logo.svg                        | XML        |          9 |          0 |          1 |         10 |
| /Users/darrellparkhouse/development/beta-crm/client/images/unchecked.svg                                         | XML        |          4 |          0 |          1 |          5 |
| /Users/darrellparkhouse/development/beta-crm/client/js/calendar.js                                               | JavaScript |        225 |         34 |         53 |        312 |
| /Users/darrellparkhouse/development/beta-crm/client/kanban-item.html                                             | HTML       |         13 |          0 |          1 |         14 |
| /Users/darrellparkhouse/development/beta-crm/client/kanban.html                                                  | HTML       |         96 |          0 |          8 |        104 |
| /Users/darrellparkhouse/development/beta-crm/client/new-task.html                                                | HTML       |         90 |          0 |          2 |         92 |
| /Users/darrellparkhouse/development/beta-crm/client/post.html                                                    | HTML       |         75 |          2 |          6 |         83 |
| /Users/darrellparkhouse/development/beta-crm/client/scss/_icons.scss                                             | SCSS       |         38 |          0 |          8 |         46 |
| /Users/darrellparkhouse/development/beta-crm/client/scss/app.scss                                                | SCSS       |         18 |          0 |          2 |         20 |
| /Users/darrellparkhouse/development/beta-crm/client/scss/partials/_button.scss                                   | SCSS       |         10 |          2 |          3 |         15 |
| /Users/darrellparkhouse/development/beta-crm/client/scss/partials/_calendar.scss                                 | SCSS       |        430 |          5 |         78 |        513 |
| /Users/darrellparkhouse/development/beta-crm/client/scss/partials/_form.scss                                     | SCSS       |         17 |          1 |          5 |         23 |
| /Users/darrellparkhouse/development/beta-crm/client/scss/partials/_kanban-item.scss                              | SCSS       |          4 |          0 |          3 |          7 |
| /Users/darrellparkhouse/development/beta-crm/client/scss/partials/_kanban.scss                                   | SCSS       |          9 |          0 |          4 |         13 |
| /Users/darrellparkhouse/development/beta-crm/client/scss/partials/_mixins.scss                                   | SCSS       |         24 |          0 |          4 |         28 |
| /Users/darrellparkhouse/development/beta-crm/client/scss/partials/_task.scss                                     | SCSS       |         15 |          0 |          5 |         20 |
| /Users/darrellparkhouse/development/beta-crm/client/scss/partials/_vars.scss                                     | SCSS       |         33 |          0 |          7 |         40 |
| /Users/darrellparkhouse/development/beta-crm/design-system.md                                                    | Markdown   |        105 |          0 |         43 |        148 |
| Total                                                                                                            |            |      4,442 |        451 |        779 |      5,672 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
